,tweet,emotion,pre_clean_len,clean_text
327,@NationalGallery @state_hermitage,nocode,33,
328,Magic Carpet Storytelling @kidsinmuseums  @NationalGallery  https://t.co/95pUT0NPNR,nocode,83,magic carpet storytelling
329,"@JessHarri thank you for the RT, following you back, great to see the panelists in action at #DefeatingDepression @RAMMuseum",happy,124,thank you for the rt following you back great to see the panelists in action at defeatingdepression
330,Checking out the Art Corner in Queen Square this weekend? @FringeArtsBath @BathBoules @WeLoveBath @NOWBath @ICIABath http://t.co/Kii53DaHPT,nocode,139,checking out the art corner in queen square this weekend
331,風刺と言えばTEDトークでも言及した1640年代イギリスの企業独占批判。もはや人間ですらありませんw British Museum: Collection image gallery @britishmuseum http://t.co/mx5tMg6dN3,nocode,129,ted w british museum collection image gallery
332,@PrintQuarterly  @Prntmakngonline @_TheWhitechapel @Museo_MAXXI,nocode,63,
333,@AHistoricoMNA @britishmuseum,nocode,29,
334,"Rayban_Outlet_65,Click_24 http://t.co/sMiDEXlzlK http://t.co/LREnUrzz6U @RAMGolfSociety @RAMIREZLUNA @RAMMuseum @RAMON1144 @RAMONGUTIERREZO",nocode,139,rayban outlet click
335,"Form/process/context: ""space is a meeting point of histories"" @FL_FLAMIN Artist Sarah Turner in conversation w Karen Mirza @_TheWhitechapel",nocode,139,form process context space is a meeting point of histories artist sarah turner in conversation w karen mirza
336,"Job Desc.: ""3D Models"". Back at @britishmuseum today with the African Rock Art team... http://t.co/uClPF58nxM http://t.co/eAPA3BWd2j",nocode,132,job desc d models back at today with the african rock art team
337,"""@britishmuseum: We’re here with #Bonaparte What about the importance of Napoleon and the Egyptian culture ?",not-relevant,108,we re here with bonaparte what about the importance of napoleon and the egyptian culture
338,"I'm at @NationalGallery in London, Greater London w/ @sandersonabby https://t.co/qpuDgt1kzT http://t.co/iCWaQ24PbQ",nocode,114,i m at in london greater london w
339,"Cup depicting Odysseus and a rather sad Achilles, via @britishmuseum archives http://t.co/r8udd0ktjb http://t.co/iLkvKnMhhR",nocode,123,cup depicting odysseus and a rather sad achilles via archives
340,Explore the art of Castle Hill this Sat with a tour of the New Hall Art Collection @MECCambridge &amp; last chance to visit @kettlesyard,nocode,136,explore the art of castle hill this sat with a tour of the new hall art collection last chance to visit
341,Reading @SStraine on mega-Pollock @tateliverpool in the @stylistmagazine certainly perked up the morning commute! http://t.co/6f9hTVkKQi,happy,136,reading on mega pollock in the certainly perked up the morning commute
342,I just told @tate @britishmuseum @NPGLondon &amp; @RoyalOperaHouse to #DropBP Sponsorship. Join me: http://t.co/RBqHZy2rOo,nocode,122,i just told to dropbp sponsorship join me
343,This is one of the rooms @Tate_StIves Ravine Neuenschwander now well worth a visit u become part of it too? http://t.co/nXK7jfvFyp,happy,130,this is one of the rooms ravine neuenschwander now well worth a visit u become part of it too
344,Fantastic introduction to the re-displayed Baroque galleries @BM_AG today at pre-1900 European Paintings SSN Study Day with @NationalGallery,happy,140,fantastic introduction to the re displayed baroque galleries today at pre european paintings ssn study day with
345,"@RAMMuseum RT Hi, Check out our crowdfunding campaign by Pauser http://t.co/jODvZVBWJ0 help us and create new #graffiti #streetart",not-relevant,130,rt hi check out our crowdfunding campaign by pauser help us and create new graffiti streetart
346,"@NationalGallery The 2rd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland",not-relevant,138,the rd genocide against biafrans as promised by buhari has begun days of unreported aerial bombardment in biafraland
347,@FitzMuseum_UK I would love to know the source,happy,46,i would love to know the source
348,@FundforTeachers can't express gratitude 4 this visit inside our Art History 101 textbk! W/ @bquentin3 @britishmuseum http://t.co/P6Ev1q1J5O,happy,140,can t express gratitude this visit inside our art history textbk w
349,Don't miss Christopher Williams' exhibition about photography @_TheWhitechapel #britaininsider @londonlivindoll http://t.co/DWxZvo7C9u,nocode,134,don t miss christopher williams exhibition about photography britaininsider
350,"@kettlesyard #SINCru's annual #HipHop #Theatre summer #show ""7,295 Silent Steps"" takes place 1st weekend of #July http://t.co/GCekGvK0Gz",nocode,136,sincru s annual hiphop theatre summer show silent steps takes place st weekend of july
351,@britishmuseum @Nickuae why was it pejorative? Was it a comment about class?,nocode,76,why was it pejorative was it a comment about class
352,@FourFeetFilms Enjoy! When Van Gogh lived here for a short while he wrote about his walks over the Thames to work and @NationalGallery.,happy,135,enjoy when van gogh lived here for a short while he wrote about his walks over the thames to work and
353,Real life Iron #Throne #GameofThrones #GoT @britishmuseum http://t.co/sLCDbrx5rb,nocode,80,real life iron throne gameofthrones got
354,"John H. Taylor du @britishmuseum ""The collecting activities of Giovanni d'Athanasi"" #objetEgyptien http://t.co/4hCcd1nb6E",nocode,121,john h taylor du the collecting activities of giovanni d athanasi objetegyptien
355,@ICIABath we are trying to create Fun Palaces across Bath bringing science and arts together. Are you interested?  http://t.co/aU8gGTvDXp,nocode,137,we are trying to create fun palaces across bath bringing science and arts together are you interested
356,#london @visitlondon @NationalGallery #awesome http://t.co/z4wYeXUBuI,happy,69,london awesome
357,@Godchecker @britishmuseum much better.,happy,39,much better
358,@samerelfidy @HistoryLibya @OsamaTashani @britishmuseum مشكلة لما تبدا متحمس وخاش بثقة وانت ماتندريش عليها,nocode,106,
359,This morning students have been given some free time to explore Cambridge's museums. @CamUnivMuseums #ExploreYourSubject #SWOpenDay,nocode,131,this morning students have been given some free time to explore cambridge s museums exploreyoursubject swopenday
360,@odonnellhugh @britishmuseum,nocode,28,
361,"Very funny fast talking #MC @theiAwards - a great night, beautiful venue @NationalGallery",happy,89,very funny fast talking mc a great night beautiful venue
362,Cannot believe 3 years in London &amp; it's my first visit to the British Museum! It's massive! @britishmuseum http://t.co/Qf9F0qTNkj,happy,133,cannot believe years in london it s my first visit to the british museum it s massive
363,@kettlesyard YES! And we're very excited about completing our epic Tippett cycle with you tomorrow evening too!,happy,111,yes and we re very excited about completing our epic tippett cycle with you tomorrow evening too
364,#Win a pair of tickets to Jackson #Pollock: Blind Spots at @tateliverpool! http://t.co/Wr19uS63rh   #art #exhibition #Liverpool,nocode,127,win a pair of tickets to jackson pollock blind spots at art exhibition liverpool
365,@lothargoetz Mirror Image - a frieze of monoprints @Holeeditions @MertensFrames @_TheWhitechapel http://t.co/KGbnko2YoA,nocode,119,mirror image a frieze of monoprints
366,Hi @MAACambridge &amp; @TheMuseumOfLiz. Pls can you share our sponsored #Roman road walk with your followers? https://t.co/Hz9b4wZbVJ,not-relevant,133,hi pls can you share our sponsored roman road walk with your followers
367,.@tateliverpool's Blind Spots exploring Jackson Pollock's black pourings opens 30 June http://t.co/svG1IzgM9t http://t.co/Awml2oE2HL,nocode,132,s blind spots exploring jackson pollock s black pourings opens june
368,"@city_calm you have a new follower, thank you for favouriting my RT. Really interesting panel #DefeatingDepression @RAMMuseum",happy,125,you have a new follower thank you for favouriting my rt really interesting panel defeatingdepression
369,@NationalGallery #AskTheGallery What would you do to better adapt to the needs of foreign visitors?,nocode,99,askthegallery what would you do to better adapt to the needs of foreign visitors
370,Thank You 😘 RT @CCBMLov: @MidoriTakaki @Nantronica You ARE hopefully one day soon you will have your work at the @britishmuseum 😊,not-relevant,129,thank you rt you are hopefully one day soon you will have your work at the
371,"@NationalGallery Tomorrow, history, art &amp; science collide during #FellowFriday with @ebdrago. Hope you can join us! http://t.co/hSb9vDspsz",nocode,142,tomorrow history art science collide during fellowfriday with hope you can join us
372,@NationalGallery  sexy porn sex with dance and sexual intercours https://t.co/YljzmBvSO9,not-relevant,88,sexy porn sex with dance and sexual intercours
373,"If you've got a spare fiver, @kettlesyard have almost reached their redevelopment funding target http://t.co/TEvhD5ICBq",nocode,119,if you ve got a spare fiver have almost reached their redevelopment funding target
374,Discover The Arts with Social Media: NOHO Featured Artist Natalie Ryde https://t.co/Gl8amrJgwd @_TheWhitechapel #London #Art #Video,nocode,131,discover the arts with social media noho featured artist natalie ryde london art video
375,Christopher Williams: The Production Line of Happiness showing @_TheWhitechapel till June 21 http://t.co/x5kgjdszTX,nocode,115,christopher williams the production line of happiness showing till june
376,"@HackneyAbbott @BarnetTradesCcl @NationalGallery @johnmcdonnellMP @pcs_union oh you won't get Ed to intervene, he hasn't with library cuts.",disgust,139,oh you won t get ed to intervene he hasn t with library cuts
377,@FL_FLAMIN @nia_loves_films @_TheWhitechapel fantastic - thank you!,happy,67,fantastic thank you
378,"@_TheWhitechapel ""Toward Parliament square at dusk"". I hope you all enjoy this painting. http://t.co/cjY46idGyJ http://t.co/ZKTDELAPkT",happy,134,toward parliament square at dusk i hope you all enjoy this painting
379,The Dartmouth Museum Daily is out! http://t.co/DRFJjmT28J Stories via @FitzMuseum_UK @MuseumsAtNight @HilaryMcGowan,happy,115,the dartmouth museum daily is out stories via
380,May have bought more stuff from the Mexican bit of the @britishmuseum :D http://t.co/XmvUJGIigx,happy,95,may have bought more stuff from the mexican bit of the d
381,@chemingineer @aaroo4 Saw it @NationalGallery (London) last year and looked for signs of damage but saw none. Conservationists deserve merit,happy|surprise,140,saw it london last year and looked for signs of damage but saw none conservationists deserve merit
382,Apotropaic! RT @britishmuseum: Today's #MysteryObject - ancient Greek bronze greaves 500 BC! http://t.co/IM4j6O3SkU http://t.co/jbNoLsd9qe,nocode,138,apotropaic rt today s mysteryobject ancient greek bronze greaves bc
383,Go this week! @CreativeDebuts @FunkyArtGallery @GlobalArtAgency @ShoreditchHype @Brick_Lane_Art @_TheWhitechapel http://t.co/93FcNMiTUU,happy,135,go this week
384,"@RAMMuseum  Hello. If you are interested in Kundalini, Enlightenment, Liberation, etc., check this:  https://t.co/N2mbD6Zrpf",nocode,124,hello if you are interested in kundalini enlightenment liberation etc check this
385,"""La Gare Saint-Lazare"" de Claude Monet @NationalGallery #London http://t.co/ctnlAZcU9M",nocode,86,la gare saint lazare de claude monet london
386,@Smerchant84 RT @lisamaythomas: The Touch Diaries trailer! https://t.co/TG6HPOQ4IK premiere 9th July @ICIABath @BathDance @theatrebristol,happy,137,rt the touch diaries trailer premiere th july
387,The @BritishMuseum has an 'Enlightenment' gallery. It's kind of the 'Batman Begins' of the place. http://t.co/y6cOmANylc,nocode,120,the has an enlightenment gallery it s kind of the batman begins of the place
388,CEO Daniel Gandesha will be speaking at the @WiredUK money #startup event at @britishmuseum on 8th July: http://t.co/ssV9XuW9gN,nocode,127,ceo daniel gandesha will be speaking at the money startup event at on th july
389,#ChristopherWilliams The Production Line of Happiness @_TheWhitechapel on until Sunday. Dynamic &amp; refreshing http://t.co/fPla90shml,happy,135,christopherwilliams the production line of happiness on until sunday dynamic refreshing
390,@ExeterLiving @MooseAllain @ThelmaHulbert Fab. :),happy,49,fab
391,@britishmuseum heading to visit mummies and statues.,nocode,52,heading to visit mummies and statues
392,Dr Sculthorpe provides insightful talk to @artfund members about #IndigenousAustralia exhibition @britishmuseum http://t.co/J51wWzXSvf,happy,134,dr sculthorpe provides insightful talk to members about indigenousaustralia exhibition
393,The @RAMMuseum in Exeter is definitely worth a visit. They have a #Samurai! #ILoveMuseums @brinton83 @crazybird001  https://t.co/1OAGRLHmak,happy,139,the in exeter is definitely worth a visit they have a samurai ilovemuseums
394,Visited the @FitzMuseum_UK today! Inspiration is everywhere :) http://t.co/xq3U4bvz3Y,happy,85,visited the today inspiration is everywhere
395,F is for Funky Fiddle Leaf but also for the fabulous @FitzwilliamColl and @FitzMuseum_UK http://t.co/JUwM1VV89t,happy,111,f is for funky fiddle leaf but also for the fabulous and
396,@MarcusRomer @kettlesyard @andrewnairne The truth is I had a brain freeze and couldn't remember your name.,not-relevant,106,the truth is i had a brain freeze and couldn t remember your name
397,"Brilliant Day, Loved drinking too much coffee with the lovely @lisajewelluk @NationalGallery",happy,92,brilliant day loved drinking too much coffee with the lovely
398,Find great content producers on #Periscope like @britishmuseum http://t.co/9FJeQAZvXQ  @periscopeco @periscopetv http://t.co/PTx5tkaWvZ,happy,135,find great content producers on periscope like
399,"Entrance Hall of Royal Academy, Somerset House by George Johann Scharf 1836 (@britishmuseum). http://t.co/JkndjhmQc5",nocode,116,entrance hall of royal academy somerset house by george johann scharf
400,"Congrats @samcurtisart, v exciting. Looking forward to the show. Starts 15th July - not to miss! @_TheWhitechapel",happy,113,congrats v exciting looking forward to the show starts th july not to miss
401,Lo viste? El tuit más popular de hoy entre las personas que sigo http://t.co/HZwcLEHrv1 por @britishmuseum,nocode,106,lo viste el tuit m s popular de hoy entre las personas que sigo por
402,@kettlesyard - sparkling strings of  light adding to the ambience at Kettles Yard this sunny afternoon http://t.co/dVm0zpXXly,happy,125,sparkling strings of light adding to the ambience at kettles yard this sunny afternoon
403,@NationalGallery Great 2 c #Rembrandt's back from loan in Rooms 23 &amp; 24 Missed them so much!,happy,96,great c rembrandt s back from loan in rooms missed them so much
404,Crossing the red line. @fitzmuseum_uk @cambridgeuniversity #cambridgeuniversity #iphoneonly #shotoniphone6 #museum … http://t.co/lJ4s0syi3O,nocode,139,crossing the red line cambridgeuniversity iphoneonly shotoniphone museum
405,#Pollock review – this is art as nervous breakdown... and it's majestic http://t.co/2VuJL7t9BC via @guardian Until 18 October @tateliverpool,happy,140,pollock review this is art as nervous breakdown and it s majestic via until october
406,Friday off. Christopher Williams @_thewhitechapel #whitechapelgallery 👏🏻 https://t.co/b0hJLUxgg7,nocode,96,friday off christopher williams whitechapelgallery
407,Great visit to the @britishmuseum yesterday. Expect photos.......,happy,65,great visit to the yesterday expect photos
408,"@MorpethSch students got to try their hand at curating an exhibition @_TheWhitechapel yesterday, check it out http://t.co/Va9kAkGT2z",nocode,132,students got to try their hand at curating an exhibition yesterday check it out
409,Great day filming #Roman #gems @FitzMuseum_UK with @gassingabout. Watch this space for the finished video! http://t.co/nvf8kEVkJj,happy,129,great day filming roman gems with watch this space for the finished video
410,"@NationalGallery Director Nicholas Penny, why was Candy Udwin sacked for? was it because she is vocal about the Tory's plan #AskTheGallery",not-relevant,138,director nicholas penny why was candy udwin sacked for was it because she is vocal about the tory s plan askthegallery
411,@britishmuseum @Deirdre2_borgia Looks incredibly uncomfortable to wear...👢,nocode,74,looks incredibly uncomfortable to wear
412,"They did and they will: Coin minted in Amphipolis in #Greece 330 BC depicting Zeus, today in the @BritishMuseum. http://t.co/Vv0IsKfQR7",nocode,135,they did and they will coin minted in amphipolis in greece bc depicting zeus today in the
413,@NationalGallery the glass means fragility and the book are fortification plans says museum text Tizian far superior https://t.co/pYZBvPbiYV,nocode,140,the glass means fragility and the book are fortification plans says museum text tizian far superior
414,"@Tate @tateliverpool I will be hammering the door down to see that exhibition, fantastic opportunity to see a well curated exhibition",happy,133,i will be hammering the door down to see that exhibition fantastic opportunity to see a well curated exhibition
415,Looking forward to joining this evening's #DefeatingDepression event at @RAMMuseum - hosted by @UoE_MedHist,happy,107,looking forward to joining this evening s defeatingdepression event at hosted by
416,.@NationalGallery loved the Drawing in Silver and Gold exhibit. Fascinating process and breadth of use thru centuries of #art!,happy,126,loved the drawing in silver and gold exhibit fascinating process and breadth of use thru centuries of art
417,So pleased this was selected and will be at @ThelmaHulbert Gallery in July/August #EvolverPrize2015 http://t.co/yA60vLNPTk,happy,122,so pleased this was selected and will be at gallery in july august evolverprize
418,"Saw #definingbeauty at @britishmuseum today and it is just glorious. Seriously, the arse on that exhibition. Wow.",happy,113,saw definingbeauty at today and it is just glorious seriously the arse on that exhibition wow
419,£13m Cezanne painting will leave Cambridge's @FitzMuseum_UK- unless a UK buyer comes forward: http://t.co/JUDB49cQcz http://t.co/gWmNfNAE3K,nocode,139,m cezanne painting will leave cambridge s unless a uk buyer comes forward
420,@tateliverpool @uccrew_sthelens  tom?,nocode,37,tom
421,Coming soon from @TheEES near  @SoaneMuseum @camdentalking @britishmuseum @FoundlingMuseum @LoveCamden @DickensMuseum http://t.co/Xx78LXC3X4,nocode,140,coming soon from near
422,Thank you Caroline Campbell for this aft @NationalGallery.I'm so glad I came to #London to take you to @SanFrancisco http://t.co/J7WDpKSJXL,happy,139,thank you caroline campbell for this aft i m so glad i came to london to take you to
423,"@SplashDSM @britishmuseum e.g. arc de triomphe, part of the louvre were napoleon B",nocode,82,e g arc de triomphe part of the louvre were napoleon b
424,Van Gogh &amp; Monet @NationalGallery #London http://t.co/tBaeuSl7Xc,nocode,68,van gogh monet london
425,"BritishMuseum: RT @Alias_Ailsa: Loved #ancientlives exhibition @britishmuseum! Brilliant use of technology, amazin… http://t.co/LR7CW55YOy",happy,138,britishmuseum rt loved ancientlives exhibition brilliant use of technology amazin
426,@britishmuseum for a wonderful summer party http://t.co/p9CCVNcQE8,happy,66,for a wonderful summer party
427,@britishmuseum a death mask??,surprise,29,a death mask
428,@NationalGallery's Matt Morgan explores the display of light in art from Turner to Eliasson! Later: 8pm #alsofestival http://t.co/7YRTpDZaTQ,nocode,140,s matt morgan explores the display of light in art from turner to eliasson later pm alsofestival
429,Solidarity @greenpeace #kayaktivists We r fighting @Shell &amp; @NationalGallery who want 2 privatise 400 workers here #ShellNo #noprivatisation,angry,144,solidarity kayaktivists we r fighting who want privatise workers here shellno noprivatisation
430,@britishmuseum @TripAdvisor I put the @NatGalleryAus and @V_and_A ahead of you; however I fear changes coming to both,nocode,117,i put the and ahead of you however i fear changes coming to both
431,Really loved #DefiningBeauty @britishmuseum. Outstanding exhibit+ worth it for last 2 sculptures alone. Closes 5 July http://t.co/F3GZWdGSdX,happy,140,really loved definingbeauty outstanding exhibit worth it for last sculptures alone closes july
432,@britishmuseum Discover the diversity of http://t.co/2kbdAhhHxK http://t.co/YqWY358aci,nocode,86,discover the diversity of
433,Still time to book for @PlymouthMuseum and @YorkArtGallery #newexpressions #fieldvisits #KeithHarrison #PhilipEglin https://t.co/sq0JZ7SD4X,nocode,139,still time to book for and newexpressions fieldvisits keithharrison philipeglin
434,@PamHartshorne @britishmuseum  Sounds wonderful😊- enjoy,happy,55,sounds wonderful enjoy
435,Really enjoying @britishmuseum tweets. Well worth a follow.,happy,59,really enjoying tweets well worth a follow
436,Just finished deinstalling @kettlesyard Now closing for 2 years redevelopment. Look forward to seeing new space,happy,111,just finished deinstalling now closing for years redevelopment look forward to seeing new space
437,@britishmuseum why was the wounded eye of Horus used so much?,nocode,61,why was the wounded eye of horus used so much
438,@tateliverpool #FathersDay My father's Carl Kohler 1919-2006 selfportrait from 1946. http://t.co/29rx0PjLxh http://t.co/rcY8bI0dbZ,nocode,130,fathersday my father s carl kohler selfportrait from
439,Ace dragon tiles at the @britishmuseum http://t.co/S6BLYPW7dR,happy,61,ace dragon tiles at the
440,L'immense toile majeure de #Seurat (mal connu en France) Baigneurs à Asnières est à Londres @NationalGallery http://t.co/ogo1jI8q3C,nocode,131,l immense toile majeure de seurat mal connu en france baigneurs asni res est londres
441,Thanks @britishmuseum for preserving #Palmyre http://t.co/kQPEpqSUU6,happy,68,thanks for preserving palmyre
442,@NationalGallery Welcome aboard!,happy,32,welcome aboard
443,.@Tate_StIves curator Laura Smith talking on 2018 show on Virginia Woolf &amp; women artists. #MaterialHistories http://t.co/jDmlhxQDFn,nocode,135,curator laura smith talking on show on virginia woolf women artists materialhistories
444,@NationalGallery @Duff_Stuff_ Always start with the Perugino- then try other stuff!,nocode,83,always start with the perugino then try other stuff
445,@FitzMuseum_UK Rather lovely promotional animation: https://t.co/IF96Cy4zy3,happy,75,rather lovely promotional animation
446,What lies beneath: drapery and the suggested form http://t.co/xY8I9SWmOM via @britishmuseum,nocode,91,what lies beneath drapery and the suggested form via
447,@britishmuseum @JHGHendriks This Dutch horse survived: https://t.co/Ft2tViG040,nocode,78,this dutch horse survived
448,Congratulations to our @artfund @NationalGallery trainee @HelenHillyard on a fantastic #Baroque redisplay @BM_AG! http://t.co/RXVTc7bXhG,happy,136,congratulations to our trainee on a fantastic baroque redisplay
449,Glad Day #LoveWins (from @britishmuseum) http://t.co/Q4XSwL0esu http://t.co/voivfqwJYD,happy,86,glad day lovewins from
450,@britishmuseum Loving it! Periscope is broadcasting sideways here though (might be just my browser)...,happy,102,loving it periscope is broadcasting sideways here though might be just my browser
451,We are still open for another hour! Please come down and visit us. #CastleHill15 @CambridgeNewsUK @kettlesyard http://t.co/6e7IZyaATw,nocode,133,we are still open for another hour please come down and visit us castlehill
452,@britishmuseum Superbe Musée http://t.co/4I8idPlBFt,happy,51,superbe mus e
453,@kettlesyard @IrregularCircle love this place :-),happy,49,love this place
454,@CarolineLawrenc @britishmuseum Didn't he also invite a local wit at the forum to publicly ok him? Always liked Vespasian.,nocode,122,didn t he also invite a local wit at the forum to publicly ok him always liked vespasian
455,"#AskTheGallery @NationalGallery Dear director, i really would like to know.... http://t.co/ohJxCNRWu5",nocode,101,askthegallery dear director i really would like to know
456,Look out for @SIN_Cru_ performing at @kettlesyard #CastleHill Open Day this Saturday 20th June! #Dance #BBoying Info: http://t.co/7PgnqtHiw3,nocode,140,look out for performing at castlehill open day this saturday th june dance bboying info
457,#FF @YardsBrewJason @YarwoodLeather @YardiesBath @BYMClaire @yarpmedia @mrneilly @Your_Bath @YourBath2015 @BathCoUK @Bath_Jobs_UK @ICIABath,not-relevant,139,ff
458,The extension to @KettlesYard... http://t.co/FAKNxBg8gO,nocode,55,the extension to
459,20th June @SidneySussex will be transformed into a museum of all things #art @CamUnivMuseums @CamWhatsOn,nocode,104,th june will be transformed into a museum of all things art
460,"Saturday @_TheWhitechapel: screenings + discussions w/ Beatrice Gibson, Sarah Turner + Larissa Sansour @FL_FLAMIN http://t.co/8tI8cJilMP",nocode,136,saturday screenings discussions w beatrice gibson sarah turner larissa sansour
461,Crocodile mask @britishmuseum #IndigeousAustralia exhibition http://t.co/Sgg6tqDuCm,nocode,83,crocodile mask indigeousaustralia exhibition
462,"@NationalGallery The 2rd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland",not-relevant,138,the rd genocide against biafrans as promised by buhari has begun days of unreported aerial bombardment in biafraland
463,USA Armchair Travelers See The Impressionists of National Gallery July 14th! http://t.co/D5WfIOCZPb @NationalGallery http://t.co/hl4L0GJ6wq,happy,139,usa armchair travelers see the impressionists of national gallery july th
464,"#AskTheGallery @NationalGallery Dear director, i really need to know... http://t.co/ZOKi0WmpLw",nocode,94,askthegallery dear director i really need to know
465,@LucyWheeler16 @kettlesyard Thank YOU for a lovely evening!,happy,59,thank you for a lovely evening
466,@britishmuseum thanks!,happy,22,thanks
467,@TheFrameBlog @NationalGallery She's a beauty. Beauty is so hard to come by these days.,happy,87,she s a beauty beauty is so hard to come by these days
468,"Review: Christopher Williams 'The Production Line of Happiness"" @_TheWhitechapel  til 21.06, text by Becky Sykes  http://t.co/ENtZTD7q9p",nocode,136,review christopher williams the production line of happiness til text by becky sykes
469,@WhiteLightEvent @Caz3822 @walker_a supplying core colour points and wireless PA system @NationalGallery @NASDAQ #eventprofs,not-relevant,124,supplying core colour points and wireless pa system eventprofs
470,@MartinUMueller Da ist auch leider die Kultur- und Sprachpolitik im Ausland schuld. Kurz: Bratwurst statt Kultur @britishmuseum @DerSPIEGEL,nocode,139,da ist auch leider die kultur und sprachpolitik im ausland schuld kurz bratwurst statt kultur
471,"I'm at @NationalGallery in London, Greater London https://t.co/SFdgCxbEgj",nocode,73,i m at in london greater london
472,"Painting of 6-armed deity, Yama-deva, standing on bull, holding sun &amp; moon, China, Tang Dyn. c851-950 @britishmuseum. http://t.co/Yu0nVBxikw",nocode,144,painting of armed deity yama deva standing on bull holding sun moon china tang dyn c
473,"We are over the moon to present our new website for @ThelmaHulbert - our local, award winning art gallery http://t.co/4VglZP9TbB #Honiton",happy,137,we are over the moon to present our new website for our local award winning art gallery honiton
474,@MuseeLouvre @museiincomune @leCMN @GoldUnveiled @britishmuseum @MarDixon @Museo_MADRE,nocode,86,
475,{ @britishmuseum } #Japan #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics http://t.co/guxzh4DWhw,nocode,127,japan art london ttot lp vacation trip photography photo travel travelpics
476,"I'm following @kettlesyard, @frederickvan, @martinjonesaz and @ChidiNwanyanwu on @spreaker https://t.co/O9sccqGZhm",not-relevant,114,i m following and on
477,Fantastic closing exhibition @kettlesyard providing inspiration in #drawing and #sculpture #New#Rhythms http://t.co/OU7l7SaRt0,happy,126,fantastic closing exhibition providing inspiration in drawing and sculpture new rhythms
478,Great Terry Frost show opened @LeedsArtGallery last night. Congrats to @CuratorSarah and @Tate_StIves http://t.co/5VfGYYRvCL,happy,124,great terry frost show opened last night congrats to and
479,Fascinating talk @CVHISTORYFEST on Goya's portraits by @XBray  - looking forward to seeing your Goya exhibition @NationalGallery in Autumn!,happy,139,fascinating talk on goya s portraits by looking forward to seeing your goya exhibition in autumn
480,@peterliversidge @_TheWhitechapel ✊💗,nocode,36,
481,@leCMN @GoldUnveiled @museiincomune @tokikodasa @MuseeLouvre @museecarnavalet @MuseumWeek @Museo_MADRE @britishmuseum so interesting!,happy,133,so interesting
482,"“@britishmuseum: Born in 823: Frankish emperor Charles the Bald, heir to Charlemagne's throne http://t.co/ss2T1VNnOc http://t.co/fYBRijSXYN”",nocode,140,born in frankish emperor charles the bald heir to charlemagne s throne
483,Gr8 read @guardian http://t.co/fP34V5a0zB on @tateliverpool Gr8 package Jackson Pollock + @hotelindigo @TravelBird_UK http://t.co/yclQU5e2Pp,happy,140,gr read on gr package jackson pollock
484,"#LaMaisonduCanada a été conçue par Sir Robert Smirke, qui a conçu aussi le @britishmuseum http://t.co/2RKWd6RYY8",nocode,112,lamaisonducanada a t con ue par sir robert smirke qui a con u aussi le
485,El Diario de la ProfeCaro is out! http://t.co/OemlHbpDjV Stories via @NationalGallery @digitaltext @PortalGeekEP,happy,112,el diario de la profecaro is out stories via
486,Monday morning #fieldtrip pt 2: thanks to Mark Godfrey and @_TheWhitechapel. Must-see exhibition that ends Sunday. http://t.co/OeGU898UGF,happy,137,monday morning fieldtrip pt thanks to mark godfrey and must see exhibition that ends sunday
487,@NationalGallery how about non-digital audiences? 😉,nocode,51,how about non digital audiences
488,Join us at Castle Hill Open Day Sat 20 June 12-5pm.We'll be in Castle St Methodist Church car park. @kettlesyard http://t.co/SZ5mJC6tnN,nocode,135,join us at castle hill open day sat june pm we ll be in castle st methodist church car park
489,@ElizabethFell1 @AnnaBrady_Art @LAPADAorg @MasterpieceFair @Pitt_Rivers and @britishmuseum,nocode,90,and
490,"It's #MolluscMonday at @RAMMuseum rock #snail #shell from Clyst St Mary, Devon. More here: http://t.co/xZGRxVmJC4 http://t.co/Mj7Z6tazKz",nocode,136,it s molluscmonday at rock snail shell from clyst st mary devon more here
491,Watch the grand opening of 'The Edge' @UniofBath  https://t.co/RiR3NP4ztS  http://t.co/SK10qtwZgl @ICIABath  #arts #dance #performingarts,nocode,137,watch the grand opening of the edge arts dance performingarts
492,"Gold brooch of 'Helios' or sun-god, from the workshop of Castellani, Italy, c.1860s @britishmuseum. http://t.co/MH9TYP5pdn",happy,122,gold brooch of helios or sun god from the workshop of castellani italy c s
493,James Richards' Soundscape installation w/ Francis Bacon's art. I hear touches of P. Glass &amp;S. Reich @_thewhitechapel http://t.co/RNieRITYLq,nocode,144,james richards soundscape installation w francis bacon s art i hear touches of p glass s reich
494,@NationalGallery @artecielocom Your painting of a guy getting taken away by a big black eagle - what's the story behind it ? #AskTheGallery,nocode,139,your painting of a guy getting taken away by a big black eagle what s the story behind it askthegallery
495,https://t.co/KIfbjFNcZV we're hiring a new Development Officer @tateliverpool #job #arts #liverpool,not-relevant,99,we re hiring a new development officer job arts liverpool
496,@britishmuseum   Incredible that new father    AfterMarcellus Laroon II John Smith the mezzotinter  1680/1743 http://t.co/OBnWPePS4V,nocode,132,incredible that new father aftermarcellus laroon ii john smith the mezzotinter
